2023-05-28 18:41:51 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：0
     exploration_max: 0.02
     exploration_min: 0.02
     exploration_decay: 0.999
     lr: 0.00025
     batch size: 64
     max_memory_size: 50000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp13
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-28 18:41:55 - INFO - Episode 2, total score=252, average score=251.00, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.0002
2023-05-28 18:41:58 - INFO - Episode 3, total score=252, average score=251.33, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1042
2023-05-28 18:42:02 - INFO - Episode 4, total score=252, average score=251.50, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1418
2023-05-28 18:42:06 - INFO - Episode 5, total score=252, average score=251.60, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1371
2023-05-28 18:42:11 - INFO - Episode 6, total score=251, average score=251.50, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1369
2023-05-28 18:42:15 - INFO - Episode 7, total score=247, average score=250.86, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1373
2023-05-28 18:42:20 - INFO - Episode 8, total score=248, average score=250.50, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1382
2023-05-28 18:42:24 - INFO - Episode 9, total score=252, average score=250.67, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1379
2023-05-28 18:42:28 - INFO - Episode 10, total score=248, average score=250.40, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1413
2023-05-28 18:42:33 - INFO - Episode 11, total score=251, average score=250.45, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1435
2023-05-28 18:42:37 - INFO - Episode 12, total score=249, average score=250.33, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1408
2023-05-28 18:42:41 - INFO - Episode 13, total score=248, average score=250.15, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1380
2023-05-28 18:42:46 - INFO - Episode 14, total score=251, average score=250.21, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1369
2023-05-28 18:42:50 - INFO - Episode 15, total score=251, average score=250.27, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1395
2023-05-28 18:43:13 - INFO - Episode 16, total score=623, average score=273.56, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1380
2023-05-28 18:43:18 - INFO - Episode 17, total score=251, average score=272.24, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1467
2023-05-28 18:43:22 - INFO - Episode 18, total score=251, average score=271.06, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1397
2023-05-28 18:43:27 - INFO - Episode 19, total score=247, average score=269.79, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1391
2023-05-28 18:43:33 - INFO - Episode 20, total score=251, average score=268.85, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1417
2023-05-28 18:43:38 - INFO - Episode 21, total score=249, average score=267.90, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1394
2023-05-28 18:43:42 - INFO - Episode 22, total score=248, average score=267.00, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1403
2023-05-28 18:43:47 - INFO - Episode 23, total score=248, average score=266.17, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1437
2023-05-28 18:43:51 - INFO - Episode 24, total score=252, average score=265.58, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1415
2023-05-28 18:43:56 - INFO - Episode 25, total score=252, average score=265.04, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1409
2023-05-28 18:44:00 - INFO - Episode 26, total score=252, average score=264.54, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1402
2023-05-28 18:44:04 - INFO - Episode 27, total score=252, average score=264.07, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1418
2023-05-28 18:44:09 - INFO - Episode 28, total score=251, average score=263.61, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1389
2023-05-28 18:44:13 - INFO - Episode 29, total score=252, average score=263.21, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1398
2023-05-28 18:44:17 - INFO - Episode 30, total score=251, average score=262.80, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1398
2023-05-28 18:44:22 - INFO - Episode 31, total score=249, average score=262.35, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1395
2023-05-28 18:44:43 - INFO - Episode 32, total score=622, average score=273.59, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1400
2023-05-28 18:44:48 - INFO - Episode 33, total score=251, average score=272.91, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1395
2023-05-28 18:44:52 - INFO - Episode 34, total score=252, average score=272.29, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1398
2023-05-28 18:44:56 - INFO - Episode 35, total score=248, average score=271.60, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1397
2023-05-28 18:45:00 - INFO - Episode 36, total score=252, average score=271.06, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1406
2023-05-28 18:45:11 - INFO - Episode 37, total score=622, average score=280.54, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1398
2023-05-28 18:45:36 - INFO - Episode 38, total score=1586, average score=314.89, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1398
2023-05-28 18:45:41 - INFO - Episode 39, total score=237, average score=312.90, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1398
2023-05-28 18:46:13 - INFO - Episode 40, total score=626, average score=320.73, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1394
2023-05-28 18:46:46 - INFO - Episode 41, total score=800, average score=332.41, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1393
2023-05-28 18:46:58 - INFO - Episode 42, total score=633, average score=339.57, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1392
2023-05-28 18:47:08 - INFO - Episode 43, total score=623, average score=346.16, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1398
2023-05-28 18:47:12 - INFO - Episode 44, total score=252, average score=344.02, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1397
2023-05-28 18:47:25 - INFO - Episode 45, total score=735, average score=352.71, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1387
2023-05-28 18:47:31 - INFO - Episode 46, total score=234, average score=350.13, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1390
