2023-05-30 01:45:23 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：1
     exploration_max: 0.02
     exploration_min: 0.02
     exploration_decay: 0.999
     lr: 0.00025
     batch size: 64
     max_memory_size: 50000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp21
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-30 01:45:29 - INFO - Episode 2, total score=229, average score=242.50, exploration_rate=0.0200, 每步耗时：0.0011, 训练耗时：0.0564
2023-05-30 01:45:36 - INFO - Episode 3, total score=229, average score=238.00, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1387
2023-05-30 01:45:42 - INFO - Episode 4, total score=255, average score=242.25, exploration_rate=0.0200, 每步耗时：0.0011, 训练耗时：0.1390
2023-05-30 01:45:46 - INFO - Episode 5, total score=252, average score=244.20, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1371
2023-05-30 01:45:50 - INFO - Episode 6, total score=258, average score=246.50, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1391
2023-05-30 01:45:55 - INFO - Episode 7, total score=251, average score=247.14, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1383
2023-05-30 01:45:59 - INFO - Episode 8, total score=258, average score=248.50, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1381
2023-05-30 01:46:04 - INFO - Episode 9, total score=254, average score=249.11, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1486
2023-05-30 01:46:08 - INFO - Episode 10, total score=252, average score=249.40, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1380
2023-05-30 01:46:14 - INFO - Episode 11, total score=353, average score=258.82, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1375
2023-05-30 01:46:19 - INFO - Episode 12, total score=252, average score=258.25, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1386
2023-05-30 01:46:24 - INFO - Episode 13, total score=254, average score=257.92, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1387
2023-05-30 01:46:28 - INFO - Episode 14, total score=255, average score=257.71, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1391
2023-05-30 01:46:33 - INFO - Episode 15, total score=252, average score=257.33, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1377
2023-05-30 01:46:37 - INFO - Episode 16, total score=257, average score=257.31, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1383
2023-05-30 01:46:42 - INFO - Episode 17, total score=254, average score=257.12, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1381
2023-05-30 01:46:47 - INFO - Episode 18, total score=353, average score=262.44, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1390
2023-05-30 01:46:53 - INFO - Episode 19, total score=378, average score=268.53, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1386
2023-05-30 01:47:01 - INFO - Episode 20, total score=249, average score=267.55, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1384
2023-05-30 01:47:05 - INFO - Episode 21, total score=258, average score=267.10, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1387
2023-05-30 01:47:09 - INFO - Episode 22, total score=223, average score=265.09, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1397
2023-05-30 01:47:15 - INFO - Episode 23, total score=350, average score=268.78, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1396
2023-05-30 01:47:19 - INFO - Episode 24, total score=253, average score=268.12, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1412
2023-05-30 01:47:24 - INFO - Episode 25, total score=223, average score=266.32, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1413
2023-05-30 01:47:30 - INFO - Episode 26, total score=358, average score=269.85, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1401
