2023-05-30 15:29:15 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：0
     exploration_max: 0.02
     exploration_min: 0.02
     exploration_decay: 0.999
     lr: 0.00025
     batch size: 64
     max_memory_size: 50000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp27
     test_model_dir: runs/exp13
     desc: 
     render_mode: 3

2023-05-30 15:29:20 - INFO - Episode 2, total score=169, average score=169.00, exploration_rate=0.0200, 每步耗时：0.0011, 训练耗时：0.0001
2023-05-30 15:29:24 - INFO - Episode 3, total score=169, average score=169.00, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1125
2023-05-30 15:29:28 - INFO - Episode 4, total score=169, average score=169.00, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1391
2023-05-30 15:29:33 - INFO - Episode 5, total score=169, average score=169.00, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1401
2023-05-30 15:29:40 - INFO - Episode 6, total score=391, average score=206.00, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1413
2023-05-30 15:29:44 - INFO - Episode 7, total score=173, average score=201.29, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1442
2023-05-30 15:29:48 - INFO - Episode 8, total score=169, average score=197.25, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1411
2023-05-30 15:29:52 - INFO - Episode 9, total score=166, average score=193.78, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1399
2023-05-30 15:29:56 - INFO - Episode 10, total score=173, average score=191.70, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1398
2023-05-30 15:30:00 - INFO - Episode 11, total score=170, average score=189.73, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1404
2023-05-30 15:30:05 - INFO - Episode 12, total score=170, average score=188.08, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1393
2023-05-30 15:30:09 - INFO - Episode 13, total score=173, average score=186.92, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1390
2023-05-30 15:30:14 - INFO - Episode 14, total score=170, average score=185.71, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1401
2023-05-30 15:30:18 - INFO - Episode 15, total score=172, average score=184.80, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1404
2023-05-30 15:30:23 - INFO - Episode 16, total score=167, average score=183.69, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1403
2023-05-30 15:30:27 - INFO - Episode 17, total score=172, average score=183.00, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1403
2023-05-30 15:30:31 - INFO - Episode 18, total score=169, average score=182.22, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1404
2023-05-30 15:30:36 - INFO - Episode 19, total score=170, average score=181.58, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1403
2023-05-30 15:30:40 - INFO - Episode 20, total score=174, average score=181.20, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1400
2023-05-30 15:30:48 - INFO - Episode 21, total score=489, average score=195.86, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1396
2023-05-30 15:30:52 - INFO - Episode 22, total score=170, average score=194.68, exploration_rate=0.0200, 每步耗时：0.0012, 训练耗时：0.1402
2023-05-30 15:31:01 - INFO - Episode 23, total score=486, average score=207.35, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1401
2023-05-30 15:31:05 - INFO - Episode 24, total score=169, average score=205.75, exploration_rate=0.0200, 每步耗时：0.0014, 训练耗时：0.1414
2023-05-30 15:31:14 - INFO - Episode 25, total score=485, average score=216.92, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1412
2023-05-30 15:31:22 - INFO - Episode 26, total score=485, average score=227.23, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1424
2023-05-30 15:31:26 - INFO - Episode 27, total score=169, average score=225.07, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1417
2023-05-30 15:31:44 - INFO - Episode 28, total score=1124, average score=257.18, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1407
2023-05-30 15:32:08 - INFO - Episode 29, total score=1245, average score=291.24, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1403
2023-05-30 15:32:16 - INFO - Episode 30, total score=489, average score=297.83, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1408
2023-05-30 15:32:20 - INFO - Episode 31, total score=171, average score=293.74, exploration_rate=0.0200, 每步耗时：0.0013, 训练耗时：0.1408
