2023-05-25 21:58:37 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：2000
     执行动作：0
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.0001
     batch size: 32
     max_memory_size: 3000
     gamma: 0.95
     copy_step: 5000
     save_path: ./runs/exp2
     test_model_dir: runs/exp0
     desc: 
     render_mode: 0

2023-05-25 22:00:30 - INFO - Episode 2, total score=242, average score=984.00, exploration_rate=0.9988, 每步耗时：0.0000, 训练耗时：0.0770
2023-05-25 22:01:13 - INFO - Episode 3, total score=999, average score=989.00, exploration_rate=0.9983, 每步耗时：0.0001, 训练耗时：0.0777
2023-05-25 22:01:17 - INFO - Episode 4, total score=232, average score=799.75, exploration_rate=0.9983, 每步耗时：0.0001, 训练耗时：0.0766
2023-05-25 22:01:46 - INFO - Episode 5, total score=1826, average score=1005.00, exploration_rate=0.9979, 每步耗时：0.0001, 训练耗时：0.0776
2023-05-25 22:01:50 - INFO - Episode 6, total score=233, average score=876.33, exploration_rate=0.9979, 每步耗时：0.0001, 训练耗时：0.0766
2023-05-25 22:01:52 - INFO - Episode 7, total score=247, average score=786.43, exploration_rate=0.9979, 每步耗时：0.0001, 训练耗时：0.0779
2023-05-25 22:01:56 - INFO - Episode 8, total score=238, average score=717.88, exploration_rate=0.9978, 每步耗时：0.0001, 训练耗时：0.0769
2023-05-25 22:02:05 - INFO - Episode 9, total score=633, average score=708.44, exploration_rate=0.9977, 每步耗时：0.0001, 训练耗时：0.0777
2023-05-25 22:02:09 - INFO - Episode 10, total score=227, average score=660.30, exploration_rate=0.9977, 每步耗时：0.0000, 训练耗时：0.0788
2023-05-25 22:03:04 - INFO - Episode 11, total score=692, average score=663.18, exploration_rate=0.9972, 每步耗时：0.0001, 训练耗时：0.0872
2023-05-25 22:04:48 - INFO - Episode 12, total score=1151, average score=703.83, exploration_rate=0.9961, 每步耗时：0.0001, 训练耗时：0.0838
2023-05-25 22:05:04 - INFO - Episode 13, total score=635, average score=698.54, exploration_rate=0.9960, 每步耗时：0.0001, 训练耗时：0.0851
