2023-05-27 22:25:39 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：1
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.00025
     batch size: 32
     max_memory_size: 100000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp11
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-27 22:46:51 - INFO - Episode 43, total score=586, average score=585.02, exploration_rate=0.9862, 每步耗时：0.0001, 训练耗时：0.0799
2023-05-27 22:47:14 - INFO - Episode 44, total score=1044, average score=595.45, exploration_rate=0.9859, 每步耗时：0.0001, 训练耗时：0.0800
2023-05-27 22:47:18 - INFO - Episode 45, total score=220, average score=587.11, exploration_rate=0.9859, 每步耗时：0.0000, 训练耗时：0.0797
2023-05-27 22:47:21 - INFO - Episode 46, total score=248, average score=579.74, exploration_rate=0.9858, 每步耗时：0.0000, 训练耗时：0.0802
2023-05-27 22:47:26 - INFO - Episode 47, total score=212, average score=571.91, exploration_rate=0.9858, 每步耗时：0.0001, 训练耗时：0.0801
2023-05-27 22:47:31 - INFO - Episode 48, total score=229, average score=564.77, exploration_rate=0.9857, 每步耗时：0.0001, 训练耗时：0.0799
2023-05-27 22:49:19 - INFO - Episode 49, total score=840, average score=570.39, exploration_rate=0.9846, 每步耗时：0.0001, 训练耗时：0.0809
2023-05-27 22:49:24 - INFO - Episode 50, total score=230, average score=563.58, exploration_rate=0.9845, 每步耗时：0.0000, 训练耗时：0.0804
2023-05-27 22:50:22 - INFO - Episode 51, total score=1237, average score=576.78, exploration_rate=0.9839, 每步耗时：0.0001, 训练耗时：0.0828
2023-05-27 22:50:26 - INFO - Episode 52, total score=233, average score=570.17, exploration_rate=0.9839, 每步耗时：0.0000, 训练耗时：0.0816
2023-05-27 22:50:30 - INFO - Episode 53, total score=227, average score=563.70, exploration_rate=0.9838, 每步耗时：0.0000, 训练耗时：0.0809
2023-05-27 22:51:34 - INFO - Episode 54, total score=1223, average score=575.91, exploration_rate=0.9831, 每步耗时：0.0001, 训练耗时：0.0811
2023-05-27 22:51:38 - INFO - Episode 55, total score=214, average score=569.33, exploration_rate=0.9831, 每步耗时：0.0000, 训练耗时：0.0812
2023-05-27 22:51:58 - INFO - Episode 56, total score=578, average score=569.48, exploration_rate=0.9829, 每步耗时：0.0001, 训练耗时：0.0819
2023-05-27 22:52:28 - INFO - Episode 57, total score=694, average score=571.67, exploration_rate=0.9826, 每步耗时：0.0001, 训练耗时：0.0816
2023-05-27 22:53:54 - INFO - Episode 58, total score=1426, average score=586.40, exploration_rate=0.9816, 每步耗时：0.0001, 训练耗时：0.0804
2023-05-27 22:54:46 - INFO - Episode 59, total score=730, average score=588.83, exploration_rate=0.9811, 每步耗时：0.0001, 训练耗时：0.0806
2023-05-27 22:54:52 - INFO - Episode 60, total score=175, average score=581.93, exploration_rate=0.9810, 每步耗时：0.0001, 训练耗时：0.0915
2023-05-27 22:54:58 - INFO - Episode 61, total score=196, average score=575.61, exploration_rate=0.9809, 每步耗时：0.0001, 训练耗时：0.0810
2023-05-27 22:55:22 - INFO - Episode 62, total score=759, average score=578.56, exploration_rate=0.9807, 每步耗时：0.0001, 训练耗时：0.0808
2023-05-27 22:56:06 - INFO - Episode 63, total score=686, average score=580.27, exploration_rate=0.9802, 每步耗时：0.0000, 训练耗时：0.0814
2023-05-27 22:56:43 - INFO - Episode 64, total score=1101, average score=588.41, exploration_rate=0.9798, 每步耗时：0.0001, 训练耗时：0.0792
2023-05-27 22:56:47 - INFO - Episode 65, total score=236, average score=582.98, exploration_rate=0.9798, 每步耗时：0.0000, 训练耗时：0.0799
2023-05-27 22:56:51 - INFO - Episode 66, total score=208, average score=577.30, exploration_rate=0.9797, 每步耗时：0.0001, 训练耗时：0.0795
2023-05-27 22:57:07 - INFO - Episode 67, total score=1037, average score=584.16, exploration_rate=0.9796, 每步耗时：0.0001, 训练耗时：0.0794
2023-05-27 22:57:48 - INFO - Episode 68, total score=1268, average score=594.22, exploration_rate=0.9791, 每步耗时：0.0001, 训练耗时：0.0796
2023-05-27 22:57:51 - INFO - Episode 69, total score=250, average score=589.23, exploration_rate=0.9791, 每步耗时：0.0000, 训练耗时：0.0795
2023-05-27 22:58:32 - INFO - Episode 70, total score=753, average score=591.57, exploration_rate=0.9786, 每步耗时：0.0000, 训练耗时：0.0800
2023-05-27 22:59:03 - INFO - Episode 71, total score=773, average score=594.13, exploration_rate=0.9783, 每步耗时：0.0001, 训练耗时：0.0796
2023-05-27 22:59:07 - INFO - Episode 72, total score=246, average score=589.29, exploration_rate=0.9783, 每步耗时：0.0001, 训练耗时：0.0796
2023-05-27 22:59:28 - INFO - Episode 73, total score=620, average score=589.71, exploration_rate=0.9780, 每步耗时：0.0001, 训练耗时：0.0795
