2023-05-25 22:18:03 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：7000
     执行动作：0
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.0001
     batch size: 32
     max_memory_size: 3000
     gamma: 0.95
     copy_step: 5000
     save_path: ./runs/exp3
     test_model_dir: runs/exp0
     desc: 
     render_mode: 3

2023-05-25 22:19:20 - INFO - Episode 2, total score=236, average score=420.00, exploration_rate=0.9991, 每步耗时：0.0000, 训练耗时：0.0777
2023-05-25 22:20:06 - INFO - Episode 3, total score=964, average score=601.33, exploration_rate=0.9986, 每步耗时：0.0000, 训练耗时：0.0764
2023-05-25 22:20:31 - INFO - Episode 4, total score=1024, average score=707.00, exploration_rate=0.9983, 每步耗时：0.0000, 训练耗时：0.0772
2023-05-25 22:20:41 - INFO - Episode 5, total score=582, average score=682.00, exploration_rate=0.9982, 每步耗时：0.0001, 训练耗时：0.0776
2023-05-25 22:20:53 - INFO - Episode 6, total score=639, average score=674.83, exploration_rate=0.9981, 每步耗时：0.0000, 训练耗时：0.0773
2023-05-25 22:20:56 - INFO - Episode 7, total score=245, average score=613.43, exploration_rate=0.9980, 每步耗时：0.0000, 训练耗时：0.0776
2023-05-25 22:21:16 - INFO - Episode 8, total score=799, average score=636.62, exploration_rate=0.9978, 每步耗时：0.0000, 训练耗时：0.0775
2023-05-25 22:21:19 - INFO - Episode 9, total score=248, average score=593.44, exploration_rate=0.9978, 每步耗时：0.0000, 训练耗时：0.0783
2023-05-25 22:21:28 - INFO - Episode 10, total score=583, average score=592.40, exploration_rate=0.9977, 每步耗时：0.0000, 训练耗时：0.0781
2023-05-25 22:22:42 - INFO - Episode 11, total score=904, average score=620.73, exploration_rate=0.9968, 每步耗时：0.0000, 训练耗时：0.0776
2023-05-25 22:24:00 - INFO - Episode 12, total score=1196, average score=668.67, exploration_rate=0.9959, 每步耗时：0.0000, 训练耗时：0.0769
2023-05-25 22:24:03 - INFO - Episode 13, total score=236, average score=635.38, exploration_rate=0.9959, 每步耗时：0.0000, 训练耗时：0.0778
2023-05-25 22:24:25 - INFO - Episode 14, total score=795, average score=646.79, exploration_rate=0.9957, 每步耗时：0.0000, 训练耗时：0.0801
2023-05-25 22:25:59 - INFO - Episode 15, total score=868, average score=661.53, exploration_rate=0.9946, 每步耗时：0.0000, 训练耗时：0.0772
2023-05-25 22:26:07 - INFO - Episode 16, total score=602, average score=657.81, exploration_rate=0.9945, 每步耗时：0.0000, 训练耗时：0.0777
2023-05-25 22:26:16 - INFO - Episode 17, total score=612, average score=655.12, exploration_rate=0.9944, 每步耗时：0.0000, 训练耗时：0.0777
2023-05-25 22:26:42 - INFO - Episode 18, total score=590, average score=651.50, exploration_rate=0.9941, 每步耗时：0.0000, 训练耗时：0.0776
2023-05-25 22:27:22 - INFO - Episode 19, total score=750, average score=656.68, exploration_rate=0.9937, 每步耗时：0.0000, 训练耗时：0.0776
2023-05-25 22:27:26 - INFO - Episode 20, total score=236, average score=635.65, exploration_rate=0.9936, 每步耗时：0.0000, 训练耗时：0.0780
2023-05-25 22:27:29 - INFO - Episode 21, total score=241, average score=616.86, exploration_rate=0.9936, 每步耗时：0.0000, 训练耗时：0.0777
2023-05-25 22:27:37 - INFO - Episode 22, total score=630, average score=617.45, exploration_rate=0.9935, 每步耗时：0.0000, 训练耗时：0.0775
2023-05-25 22:27:40 - INFO - Episode 23, total score=244, average score=601.22, exploration_rate=0.9935, 每步耗时：0.0000, 训练耗时：0.0780
2023-05-25 22:27:58 - INFO - Episode 24, total score=1338, average score=631.92, exploration_rate=0.9933, 每步耗时：0.0000, 训练耗时：0.0774
2023-05-25 22:28:01 - INFO - Episode 25, total score=233, average score=615.96, exploration_rate=0.9932, 每步耗时：0.0000, 训练耗时：0.0778
2023-05-25 22:28:09 - INFO - Episode 26, total score=651, average score=617.31, exploration_rate=0.9931, 每步耗时：0.0000, 训练耗时：0.0774
2023-05-25 22:28:17 - INFO - Episode 27, total score=650, average score=618.52, exploration_rate=0.9931, 每步耗时：0.0000, 训练耗时：0.0778
2023-05-25 22:28:19 - INFO - Episode 28, total score=247, average score=605.25, exploration_rate=0.9930, 每步耗时：0.0000, 训练耗时：0.0774
2023-05-25 22:28:26 - INFO - Episode 29, total score=620, average score=605.76, exploration_rate=0.9929, 每步耗时：0.0000, 训练耗时：0.0775
2023-05-25 22:28:41 - INFO - Episode 30, total score=810, average score=612.57, exploration_rate=0.9928, 每步耗时：0.0001, 训练耗时：0.0774
2023-05-25 22:30:12 - INFO - Episode 31, total score=864, average score=620.68, exploration_rate=0.9917, 每步耗时：0.0000, 训练耗时：0.0771
2023-05-25 22:30:21 - INFO - Episode 32, total score=604, average score=620.16, exploration_rate=0.9916, 每步耗时：0.0001, 训练耗时：0.0777
2023-05-25 22:30:40 - INFO - Episode 33, total score=625, average score=620.30, exploration_rate=0.9914, 每步耗时：0.0000, 训练耗时：0.0771
2023-05-25 22:31:19 - INFO - Episode 34, total score=753, average score=624.21, exploration_rate=0.9910, 每步耗时：0.0001, 训练耗时：0.0771
2023-05-25 22:32:25 - INFO - Episode 35, total score=922, average score=632.71, exploration_rate=0.9902, 每步耗时：0.0000, 训练耗时：0.0773
2023-05-25 22:33:41 - INFO - Episode 36, total score=1209, average score=648.72, exploration_rate=0.9894, 每步耗时：0.0000, 训练耗时：0.0772
2023-05-25 22:33:55 - INFO - Episode 37, total score=635, average score=648.35, exploration_rate=0.9892, 每步耗时：0.0000, 训练耗时：0.0767
2023-05-25 22:33:58 - INFO - Episode 38, total score=241, average score=637.63, exploration_rate=0.9892, 每步耗时：0.0000, 训练耗时：0.0772
2023-05-25 22:34:01 - INFO - Episode 39, total score=249, average score=627.67, exploration_rate=0.9891, 每步耗时：0.0000, 训练耗时：0.0779
2023-05-25 22:36:18 - INFO - Episode 40, total score=485, average score=624.10, exploration_rate=0.9876, 每步耗时：0.0000, 训练耗时：0.0770
2023-05-25 22:36:25 - INFO - Episode 41, total score=607, average score=623.68, exploration_rate=0.9875, 每步耗时：0.0000, 训练耗时：0.0775
2023-05-25 22:36:28 - INFO - Episode 42, total score=247, average score=614.71, exploration_rate=0.9875, 每步耗时：0.0000, 训练耗时：0.0773
2023-05-25 22:37:02 - INFO - Episode 43, total score=994, average score=623.53, exploration_rate=0.9871, 每步耗时：0.0000, 训练耗时：0.0776
2023-05-25 22:37:05 - INFO - Episode 44, total score=235, average score=614.70, exploration_rate=0.9871, 每步耗时：0.0000, 训练耗时：0.0777
2023-05-25 22:37:34 - INFO - Episode 45, total score=681, average score=616.18, exploration_rate=0.9867, 每步耗时：0.0001, 训练耗时：0.0777
2023-05-25 22:38:07 - INFO - Episode 46, total score=768, average score=619.48, exploration_rate=0.9864, 每步耗时：0.0000, 训练耗时：0.0771
2023-05-25 22:38:21 - INFO - Episode 47, total score=637, average score=619.85, exploration_rate=0.9862, 每步耗时：0.0000, 训练耗时：0.0771
2023-05-25 22:38:23 - INFO - Episode 48, total score=249, average score=612.12, exploration_rate=0.9862, 每步耗时：0.0001, 训练耗时：0.0776
2023-05-25 22:38:32 - INFO - Episode 49, total score=625, average score=612.39, exploration_rate=0.9861, 每步耗时：0.0001, 训练耗时：0.0770
2023-05-25 22:40:52 - INFO - Episode 50, total score=865, average score=617.44, exploration_rate=0.9845, 每步耗时：0.0001, 训练耗时：0.0772
2023-05-25 22:41:00 - INFO - Episode 51, total score=609, average score=617.27, exploration_rate=0.9844, 每步耗时：0.0001, 训练耗时：0.0770
